time (sec),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
54.60,0.001199619704665671,0.0009204241154431578,0.005664195379751379,9.907838312523693e-06,0.006686735884229753,0.0015640861093588162,2.391492120486581e-07
55.41,0.0013479806976979985,0.0010342560533872888,0.00636470542305998,1.1133173912741786e-05,0.007513706941866639,0.0017575218852718417,2.687255973351348e-07
56.23,0.0015104722472229185,0.0011589298480547013,0.007131935138017337,1.2475215889530782e-05,0.008419442376910532,0.001969381339156823,3.011189682361959e-07
57.04,0.0016880060859117705,0.001295145038419527,0.007970189415552225,1.3941494379197029e-05,0.009409024229566862,0.00220085320474425,3.3651108247814363e-07
57.86,0.0018815188530636382,0.0014436202733960786,0.008883890747200718,1.553974522560545e-05,0.010487673370739454,0.0024531586894813513,3.7508866302783326e-07
58.67,0.002091970875447168,0.0016050923764235915,0.009877573468656737,1.7277899910969827e-05,0.011660742706386375,0.00272754988497136,4.1704315504837325e-07
59.49,0.00232034487139486,0.0017803153511653986,0.010955877640947083,1.9164074852774324e-05,0.012933709954081333,0.003025308077347948,4.6257046755490573e-07
60.30,0.002567644579732834,0.0019700593295371117,0.01212354257670492,2.1206560079899278e-05,0.014312170000604635,0.003347741959648806,5.118707000860034e-07
61.12,0.002834893314464325,0.002175109462768408,0.013385400015878108,2.3413807295536638e-05,0.015801826845681953,0.003696185747385526,5.651478545737832e-07
61.93,0.0031231324454360776,0.0023962647556741547,0.01474636695195346,2.5794417328786695e-05,0.017408485133148244,0.004071997197608661,6.226095324583789e-07
62.75,0.0034334198045170034,0.0026343368437738643,0.016211438106475764,2.8357126971049322e-05,0.019138041266913666,0.004476555530854329,6.84466616952981e-07
63.56,0.0037668280161219296,0.0028901487123639625,0.017785678046349944,3.111079518757084e-05,0.020996474105225624,0.004911259254450542,7.509329402267608e-07
64.38,0.004124442750233176,0.003164533356125394,0.019474212935204255,3.406438868888777e-05,0.022989835222929925,0.005377523884774763,8.222249351374058e-07
65.19,0.004507360895421788,0.0034583323773499618,0.0212822219070193,3.7226966841536416e-05,0.0251242387278063,0.0058767795652056205,8.985612710152542e-07
